PREFIX,NEXT,SUB,ARAM,HEB,ALL
כִּ,י,יְ,1,1,1
לִ,י,יְ,1,1,1
בִּ,י,יְ,1,1,1
כִּ,בְ,בְּ,1,1,1
כִּ,גְ,גְּ,1,1,1
כִּ,דְ,דְּ,1,1,1
כִּ,כְ,כְּ,1,1,1
כִּ,פְ,פְּ,1,1,1
כִּ,תְ,תְּ,1,1,1
לִ,בְ,בְּ,1,1,1
לִ,גְ,גְּ,1,1,1
לִ,דְ,דְּ,1,1,1
לִ,כְ,כְּ,1,1,1
לִ,פְ,פְּ,1,1,1
לִ,תְ,תְּ,1,1,1
בִּ,בְ,בְּ,1,1,1
בִּ,גְ,גְּ,1,1,1
בִּ,דְ,דְּ,1,1,1
בִּ,כְ,כְּ,1,1,1
בִּ,פְ,פְּ,1,1,1
בִּ,תְ,תְּ,1,1,1
כִּ,חְ,חְ,1,1,1
כִּ,רְ,רְ,1,1,1
לִ,חְ,חְ,1,1,1
לִ,רְ,רְ,1,1,1
בִּ,חְ,חְ,1,1,1
בִּ,רְ,רְ,1,1,1
כִּ,וְ,וְ,1,1,1
כִּ,זְ,זְ,1,1,1
כִּ,טְ,טְ,1,1,1
כִּ,יְ,יְ,1,1,1
כִּ,לְ,לְ,1,1,1
כִּ,מְ,מְ,1,1,1
כִּ,נְ,נְ,1,1,1
כִּ,סְ,סְ,1,1,1
כִּ,צְ,צְ,1,1,1
כִּ,קְ,קְ,1,1,1
כִּ,שְׁ,שְׁ,1,1,1
כִּ,שְׂ,שְׂ,1,1,1
לִ,וְ,וְ,1,1,1
לִ,זְ,זְ,1,1,1
לִ,טְ,טְ,1,1,1
לִ,יְ,יְ,1,1,1
לִ,לְ,לְ,1,1,1
לִ,מְ,מְ,1,1,1
לִ,נְ,נְ,1,1,1
לִ,סְ,סְ,1,1,1
לִ,צְ,צְ,1,1,1
לִ,קְ,קְ,1,1,1
לִ,שְׁ,שְׁ,1,1,1
לִ,שְׂ,שְׂ,1,1,1
בִּ,וְ,וְ,1,1,1
בִּ,זְ,זְ,1,1,1
בִּ,טְ,טְ,1,1,1
בִּ,יְ,יְ,1,1,1
בִּ,לְ,לְ,1,1,1
בִּ,מְ,מְ,1,1,1
בִּ,נְ,נְ,1,1,1
בִּ,סְ,סְ,1,1,1
בִּ,צְ,צְ,1,1,1
בִּ,קְ,קְ,1,1,1
בִּ,שְׁ,שְׁ,1,1,1
בִּ,שְׂ,שְׂ,1,1,1
כָּ,בֳ,בֳּ,1,1,1
כָּ,גֳ,גֳּ,1,1,1
כָּ,דֳ,דֳּ,1,1,1
כָּ,כֳ,כֳּ,1,1,1
כָּ,פֳ,פֳּ,1,1,1
כָּ,תֳ,תֳּ,1,1,1
לָ,בֳ,בֳּ,1,1,1
לָ,גֳ,גֳּ,1,1,1
לָ,דֳ,דֳּ,1,1,1
לָ,כֳ,כֳּ,1,1,1
לָ,פֳ,פֳּ,1,1,1
לָ,תֳ,תֳּ,1,1,1
בָּ,בֳ,בֳּ,1,1,1
בָּ,גֳ,גֳּ,1,1,1
בָּ,דֳ,דֳּ,1,1,1
בָּ,כֳ,כֳּ,1,1,1
בָּ,פֳ,פֳּ,1,1,1
בָּ,תֳ,תֳּ,1,1,1
כַּ,בֲ,בֲּ,1,1,1
כַּ,גֲ,גֲּ,1,1,1
כַּ,דֲ,דֲּ,1,1,1
כַּ,כֲ,כֲּ,1,1,1
כַּ,פֲ,פֲּ,1,1,1
כַּ,תֲ,תֲּ,1,1,1
לַ,בֲ,בֲּ,1,1,1
לַ,גֲ,גֲּ,1,1,1
לַ,דֲ,דֲּ,1,1,1
לַ,כֲ,כֲּ,1,1,1
