31nl 1ds 200gp 10sm	פשיט׳٠ משום
41nl 1ds 200gp 10sm	דשחטינון "בדרום" אפקינון "מידי מעילה"٠
71nl 1ds 200gp 10sm	הכא נמי "קדשי קדשי׳" לגבי "דרום" כמה דחנקינון
81nl 1ds 200gp 10sm	דמי٠ קמ׳ל "קדשים שמתו" לא חזו כלל٠
02nl 1ds 200gp 10sm	למה לי למיתני כל הני٠ צריכן٠
82nl 1ds 200gp 10sm	ואי תנא הני הוה אמינ׳٠ יממא "זמן הקרבה" הוא٠
03nl 1ds 200gp 10sm	"הואיל" ולאו "זמן הקרבה" הוא כמאן דחנקינון
13nl 1ds 200gp 10sm	דמי٠ ולא אית בהו "מעילה"٠ קמ׳ל٠
80nl 2ds 200gp 10sm	כמה דחנקינון
90nl 2ds 200gp 10sm	דמי٠
11nl 2ds 200gp 10sm	ומאי איכא בין
21nl 2ds 200gp 10sm	מדאוריתא לרבנ׳٠
51nl 2ds 200gp 10sm	אלמ׳ מדאוריתא לא אית בהון٠
61nl 2ds 200gp 10sm	מדרבנן אית בהון٠ הכא נמי מדרבנ׳٠ לימ׳ תנינא
71nl 2ds 200gp 10sm	להא דעולא אר׳ יוח׳٠ אע׳ג דתנינא
81nl 2ds 200gp 10sm	איצטריך דעולא٠ סל׳ דע׳ אמי׳٠ הכא
91nl 2ds 200gp 10sm	לא בדילין מינהון٠ "אבל קדשים שמתו הואיל"
02nl 2ds 200gp 10sm	ובדילן מנהון אימ׳٠ אפילו "מעילה" מדרבנ׳ לא איכא٠
12nl 2ds 200gp 10sm	ק׳מלן٠
10nl 1ds 300gp 10sm	"הואיל ולכפרה" קאתיא
20nl 1ds 300gp 10sm	בדילין מינה٠ קמ׳ל٠
60nl 1ds 300gp 10sm	אמרין "חטאות המתות"
70nl 1ds 300gp 10sm	מחייהון בדילין מ{{ו}}^י^נהון٠ לאפוקי היכא דמחייה
80nl 1ds 300gp 10sm	לא בדילין מיניה٠ איתיביה רב יוסף לרבה٠ חדא
90nl 1ds 300gp 10sm	מיגו٠ חדא٠ וחדא מיגו חדא٠
61nl 1ds 300gp 10sm	והא דפליגין בה٠
40nl 2ds 300gp 10sm	חדא מיגו
50nl 2ds 300gp 10sm	חדא קמיבעיא ליה٠
21nl 2ds 300gp 10sm	יתיב אביי וקא׳ לה
31nl 2ds 300gp 10sm	להא שמע^ת^א٠
81nl 2ds 300gp 10sm	אלמא "פיגול" מייתי
91nl 2ds 300gp 10sm	"לידי מעיל׳"٠ אישתיק٠
20nl 1ds 400gp 10sm	הא נמי איסורא דמייתי "לידי פיגול"٠
60nl 1ds 400gp 10sm	דכול׳ עלמא
70nl 1ds 400gp 10sm	"עירוב מחשבת" הואי٠ הכא נמי לכי זריק תיגלי
80nl 1ds 400gp 10sm	מילתא٠ אי "בעבודה אחת" אי "בשתי עבודות"٠
90nl 1ds 400gp 10sm	אי הכי גבי "תודה" נמי {{עד}} ^כי^ {{ד}}זריק٠ אלא מאי "קדש הלחם"٠ לא לחיוביה "במעילה"٠
11nl 1ds 400gp 10sm	לאו אע׳ג דאי זריק "דם"٠ ומסייע ליה٠
10nl 2ds 400gp 10sm	ועוד קתני סיפא٠
20nl 2ds 400gp 10sm	אי אמרת בשל׳ "בחטא׳" שפיר٠
30nl 2ds 400gp 10sm	אלא אי אמרת "בעולה" צריכ׳ למימ׳٠ סיפ׳
40nl 2ds 400gp 10sm	ודאי מסייע ליה٠ ^רישא^ מאי٠ "הואיל" ומסייע ליה
50nl 2ds 400gp 10sm	סיפא מסייעא ליה נמי רישא٠ וסיפא
60nl 2ds 400gp 10sm	ודאי מסייע ליה٠ מאי שנא "הלנה" דקעביד "בידים" לא
70nl 2ds 400gp 10sm	מהני "זריקה" לאפוקי "מידי מעילה٠ מחשבה" דלא
80nl 2ds 400gp 10sm	קעביד "בידים" מהני ליה "זריק׳" לאפוקי "מידי מעילה"٠
01nl 2ds 400gp 10sm	לאו אע׳ג דזרק٠ ומסייע
11nl 2ds 400gp 10sm	ליה٠ ^לא^٠ דלא זרק٠ אבל זרק מאי٠ הכי נמי "דאין"
