90nl 1ds 200gp 10sm	למאי הילכתא
30nl 2ds 200gp 10sm	פשיטא٠
40nl 2ds 200gp 10sm	לא צריכה٠ דאמנו עליה מאדר٠ ולא אמלכוה עד חד בניסן٠ מהו דתימא٠
50nl 2ds 200gp 10sm	נימני ליה תרתין שנין٠ ק׳מלן٠
21nl 2ds 200gp 10sm	פשיטא٠ מהו דתימ׳٠ שתא לבתרי לא
31nl 2ds 200gp 10sm	מנינן٠ ק׳מלן٠
91nl 2ds 200gp 10sm	פשיטא٠ לא צריכא٠ דאמני עליה מאדר ٠٠٠
02nl 2ds 200gp 10sm	מהו דתימ׳٠ לימנו עליה תרתי שני٠
12nl 2ds 200gp 10sm	ק׳מלן٠
82nl 2ds 200gp 10sm	"דיציאת מצרים" גופה ממאי٠ מנא לן דמניסן
92nl 2ds 200gp 10sm	מנינן٠ דלמא מתשרי מנינן٠ לא סלד׳ע٠
53nl 2ds 200gp 10sm	מדקאים באב וקרי ליה "שנת ארבעים"٠
63nl 2ds 200gp 10sm	קאי בשבט וקרי לה "שנת ארבעים"٠ מכלל
73nl 2ds 200gp 10sm	"דראש שנה" לאו תשרי٠ בשלמא התם איכא למחשב٠
34nl 2ds 200gp 10sm	וממאי "דמעשה דאב" קדים٠
44nl 2ds 200gp 10sm	דלמא "מעשה דשבט" קדים٠ לא ס׳ד٠
54nl 2ds 200gp 10sm	וכי נח
64nl 2ds 200gp 10sm	נפשיה דאהרן סיחון מיהוה הוה٠
31nl 1ds 300gp 10sm	מי דאמי٠ התם כנען הכא סיחון٠ אימא "{{דר}}^רא^ש השנה" אייר٠ לא סד׳ע٠
71nl 1ds 300gp 10sm	מדקאיי בניסן וקרי לה "שנה שנית"٠
81nl 1ds 300gp 10sm	וקאיי באב וקרי לה "שנה שנית"٠ מכלל "דראש שנה"
91nl 1ds 300gp 10sm	לאו אייר הוא٠
12nl 1ds 300gp 10sm	אם איתה٠ "בחדש השלישי בחדש הראשון"٠
22nl 1ds 300gp 10sm	"בשנה השנית" מיבי ליה٠
82nl 1ds 300gp 10sm	<"שני בחדש" בהדיא כת׳#20#>٠
92nl 1ds 300gp 10sm	חדא "דשני בשבת" לא מנינן٠ ועוד
03nl 1ds 300gp 10sm	מקיש "שני" בתרא "לשני" קמא٠ "מה שני" קמא
13nl 1ds 300gp 10sm	"חדש٠ אף שני" בתרא "חדש"٠
34nl 1ds 300gp 10sm	מתשרי מנינן٠ מדקאיי בכסלו וקארי
44nl 1ds 300gp 10sm	לה "שנת עשרים"٠ וקאיי בניסן וקארי לה "שנת עשרים"٠ מכלל "דר׳ה" לאו ניסן٠
54nl 1ds 300gp 10sm	בשלמא התם איכא למחשב٠ אלא הכא ממאי דמארתחש{{ש}}^ס^תא מנינן٠ דלמא٠
10nl 2ds 300gp 10sm	למנינא אוחרינא٠
50nl 2ds 300gp 10sm	וממאי "דמעשה" דכסלו קדים٠ דלמא "מעשה" ניסן קדים٠ לא סד׳ע٠
82nl 2ds 300gp 10sm	חדא "דאם כן" קשו קראיי אהדדי٠
33nl 2ds 300gp 10sm	מי דאמי٠ התם כורש הכא ארתשסתא٠
80nl 1ds 400gp 10sm	וכי עביד הכי לאו מעליותא היא٠
21nl 1ds 400gp 10sm	או באית אימ׳٠ מנא לן דאחמיץ٠ מהכא٠ דכת׳ ٠٠٠
51nl 1ds 400gp 10sm	מ׳ט עבד הכי٠ דסבר אימרדי בי
