71nl 1ds 200gp 10sm	תקינו ליה רבנן
81nl 1ds 200gp 10sm	דלא מקבלי "טומאה" כי היכי דלא
91nl 1ds 200gp 10sm	ניזלזלו בה٠
12nl 1ds 200gp 10sm	תקינו ליה רבנן ٠٠٠
22nl 1ds 200gp 10sm	כי היכי דניהוי
32nl 1ds 200gp 10sm	ליה הכירא٠
62nl 1ds 200gp 10sm	מנא הני מילי٠
13nl 1ds 200gp 10sm	בשלמא כוליה קרא "בפרה" לא מיתוקם٠ "ופרה"
23nl 1ds 200gp 10sm	לאו בת "כפרה" היא٠ אלא אימא٠
33nl 1ds 200gp 10sm	כוליה קרא ٠٠٠ אמרי٠
43nl 1ds 200gp 10sm	יליף "צואה צואה"٠
70nl 2ds 200gp 10sm	מאי נפקא מינה٠
90nl 2ds 200gp 10sm	הני מילי היכא דליכא דדמי ליה٠
01nl 2ds 200gp 10sm	אבל היכא דאיכא דדמי ליה מדדמי ליה
11nl 2ds 200gp 10sm	ילפינן٠
21nl 2ds 200gp 10sm	מי ידעי׳ הי "כהן" מתרמי
31nl 2ds 200gp 10sm	דניבעי ליה "פרישה" וניבעי לה "פרישה"
41nl 2ds 200gp 10sm	לכולה "משמרת בית אב"٠
51nl 2ds 200gp 10sm	לאפוקי "קרבנות"
61nl 2ds 200gp 10sm	דכל יומא ויומא איתנהו٠
02nl 2ds 200gp 10sm	וכי תימא٠ לא ידעינן הי מיניהו٠
82nl 2ds 200gp 10sm	מי איכא מידי "דעיקר רגל" לא בעי "פרישה וטפל" דידיה בעי "פרישה"٠
70nl 1ds 300gp 10sm	לאפוקי "עצרת דשני אלים" נינהו٠
51nl 1ds 300gp 10sm	תרויהו "לחובת היום"
61nl 1ds 300gp 10sm	נינהו٠
81nl 1ds 300gp 10sm	לאפוקי "ראש השנה דצבור"
91nl 1ds 300gp 10sm	נינהו٠
20nl 2ds 300gp 10sm	מאי איכא למימר٠
21nl 2ds 300gp 10sm	עד כאן לא פליגי אלא "בקיחות"
31nl 2ds 300gp 10sm	דעלמא٠
51nl 2ds 300gp 10sm	הני פרושי מפרשי
91nl 2ds 300gp 10sm	שמע מינה٠
02nl 2ds 300gp 10sm	מכדי כת׳
72nl 2ds 300gp 10sm	לאפוקי "עצרת וראש השנה" דתרויהו "עולות"
82nl 2ds 300gp 10sm	נינהו٠
92nl 2ds 300gp 10sm	לאפוקי כולהי קושייתא
23nl 2ds 300gp 10sm	לאפוקי הני٠ מאי "תחלה"
33nl 2ds 300gp 10sm	אי לימא "תחלה בכהן גדול" היני
43nl 2ds 300gp 10sm	קמיתא٠
53nl 2ds 300gp 10sm	כי אתא רב דימי אמ׳٠ ר׳ יוחנן
63nl 2ds 300gp 10sm	מתני חדא ור׳ יהושע בן לוי מתני תרתי٠
04nl 2ds 300gp 10sm	והא אנן תנן ٠٠٠ "מעלה"
14nl 2ds 300gp 10sm	בעלמא٠
44nl 2ds 300gp 10sm	ההיא דרביה٠
64nl 2ds 300gp 10sm	מהיכא ילפת לה
94nl 2ds 300gp 10sm	ניתני או אידי ואידי "מתקינין"٠ או אידי ואידי "מפרישין"٠
05nl 2ds 300gp 10sm	ומר מהיכא יליף לה٠
35nl 2ds 300gp 10sm	והא אנן "שבעת ימים" תנן٠ מתניתין ר׳ יהודה בן בתירה היא דחייש "לטומא׳ ביתו"٠
20nl 1ds 400gp 10sm	בשלמא לדידי דיליפנא "ממלואים"
40nl 1ds 400gp 10sm	דהואי "הזאה במילואים"٠
50nl 1ds 400gp 10sm	אלא לדידך דילפת מסיני٠ "הזאה" בסיני מי
60nl 1ds 400gp 10sm	הואי٠ אמ׳ ליה٠ ולטעמיך מי ניחא "במילואים דם"٠
80nl 1ds 400gp 10sm	אלא לדידך "הזאה" בסיני
90nl 1ds 400gp 10sm	מי הואי٠ אמ׳ ליה٠ "מעלה" בעלמא٠ תניא כותיה דר׳ יוחנן
01nl 1ds 400gp 10sm	תניא כותיה דריש לקיש٠
21nl 1ds 400gp 10sm	מאי הא٠
82nl 1ds 400gp 10sm	והאי "בזאת" מיבעי לי לגופיה٠
92nl 1ds 400gp 10sm	אמרי٠ אי "לקרבן"
03nl 1ds 400gp 10sm	לחודיה٠ ניכתוב רחמ׳ "בזה"٠ אי נמי "באלו" מאי "בזאת"٠
13nl 1ds 400gp 10sm	שמעת מינה תרתי בההיא מילתא "דמילואים"٠ וכי תימא "יום הכיפורים"
23nl 1ds 400gp 10sm	קמא הוא דבעי "פרישה" כדאשכחן "במילואים"٠
33nl 1ds 400gp 10sm	ואי נמי "כהן גדול"
43nl 1ds 400gp 10sm	קמא הוא דבעי "פרישה ביום הכיפורים" קמא٠
11nl 2ds 400gp 10sm	בפלוגתא
21nl 2ds 400gp 10sm	דהני תנאי٠
61nl 2ds 400gp 10sm	סבר לה כתנא קמא
91nl 2ds 400gp 10sm	דאי סלקא דעתא ٠٠٠
02nl 2ds 400gp 10sm	הא קבילו להו "מששה"٠
12nl 2ds 400gp 10sm	והא איסתלק ליה "ענן מששה"٠
22nl 2ds 400gp 10sm	בשלמא לר׳ עקיבא הינו דמשכחת
32nl 2ds 400gp 10sm	לה ٠٠٠ עשרין וארבעה דסיון ושית עשר
42nl 2ds 400gp 10sm	דתמוז٠ והוו להו "ארבעין יום" דהוה "בהר٠ בשבעה עשר בתמוז" נחית אתא ותברינהי٠
52nl 2ds 400gp 10sm	אלא לר׳ יוסי ٠٠٠ עד עשרין
62nl 2ds 400gp 10sm	ותלתה בתמוז לא איתברו "לוחות"٠
92nl 2ds 400gp 10sm	מותיבי٠
14nl 2ds 400gp 10sm	מכלל דתרויהו סבירא להו
24nl 2ds 400gp 10sm	דאיתמר "מילואים"
44nl 2ds 400gp 10sm	תסתיים דר׳ יוחנן דאמ׳
64nl 2ds 400gp 10sm	ולא אהדר ליה כלום٠ תסתיים٠ מאי ביניהו٠
10nl 1ds 500gp 10sm	"סמיכה" איכא ביניהו٠ למאן דאמ׳ "סמיכה"
20nl 1ds 500gp 10sm	מעכבא٠
30nl 1ds 500gp 10sm	למאן דאמ׳ "٠٠٠ סמיכה" לא מעכבא٠
40nl 1ds 500gp 10sm	מנא לן
50nl 1ds 500gp 10sm	דלא מעכבא٠
72nl 1ds 500gp 10sm	מנא לן דלא מעכבא٠
43nl 1ds 500gp 10sm	הא אשכחן ٠٠٠
53nl 1ds 500gp 10sm	מנא לן٠ אי בעית אימא٠ מדאיצטריך קרא למעוטיה٠ ואיבע׳ אימא٠ דאמ׳
63nl 1ds 500gp 10sm	קרא ٠٠٠
73nl 1ds 500gp 10sm	ואיתקש "משיחה לריבוי"
93nl 1ds 500gp 10sm	עיכובא٠ התינח כל
10nl 2ds 500gp 10sm	מילתא דכת׳ בהאי ענינא٠ דלא
20nl 2ds 500gp 10sm	כתיבה בהאי עניינא מנא לן٠
30nl 2ds 500gp 10sm	יליף ٠٠٠ רב משרשיא אמ׳٠
40nl 2ds 500gp 10sm	עיכובא٠ רב אשי אמ׳٠
50nl 2ds 500gp 10sm	עיכובא٠ תניא נמי הכי
21nl 2ds 500gp 10sm	בשלמא "מכנסים"
31nl 2ds 500gp 10sm	כתיבי בעניינא "דבגדים"
91nl 2ds 500gp 10sm	מאי דהוה הוה٠
22nl 2ds 500gp 10sm	"כיצד הלבישן" למסבר קראי٠
80nl 1ds 600gp 10sm	"ובבת אחת" מי משכחת לה٠ לא צריכא דאי אקדים٠
01nl 1ds 600gp 10sm	אי לר׳ יוחנן כדאית ליה٠ אי לריש לקיש כדאית
11nl 1ds 600gp 10sm	ליה٠ הכי קאמ׳ "מביתו" למה לי לאיפרושי٠
31nl 1ds 600gp 10sm	ברשיעי
41nl 1ds 600gp 10sm	עסקינן٠
91nl 1ds 600gp 10sm	אפלו תימרו רבנן٠ לא פליגי רבנן עליה
32nl 1ds 600gp 10sm	דאי אמרת "כנדה"٠ לאימת טביל٠ בליליא٠
42nl 1ds 600gp 10sm	למחר היכי עביד "עבודה"٠ הא בעי מיעבד "הערב השמש"٠
72nl 1ds 600gp 10sm	אפלו תימא "בנדה" דמפרשינן ליה "שעה אחת סמוך לשקיעת החמה"٠
82nl 1ds 600gp 10sm	מותיבי
13nl 1ds 600gp 10sm	תנא "נדה" וכל דאתי מריבוייה٠
33nl 1ds 600gp 10sm	"טומאתן" בהדיא כת׳ בהו٠
70nl 2ds 600gp 10sm	תיובתא٠
61nl 2ds 600gp 10sm	היכא דאיכא "טמא וטהור"
71nl 2ds 600gp 10sm	בההוא "בית אב" דכולי עלמא לא
81nl 2ds 600gp 10sm	פליגי "דטהורין" עבדי٠ "טמאין" לא עבדי٠ כי
91nl 2ds 600gp 10sm	פליגי להדורי ואיתויי "מבית אב"
02nl 2ds 600gp 10sm	אחרינא٠ רב נחמן אמ׳
12nl 2ds 600gp 10sm	לא מהדרינן٠ רב ששת אמ׳
22nl 2ds 600gp 10sm	מהדרינן٠ איכא דאמרי٠ אפלו היכא
32nl 2ds 600gp 10sm	דאיכא "טמאין וטהורין" בההוא "בית אב" נמי פליג רב נחמן דעבדי "בטומאה"٠
10nl 1ds 700gp 10sm	דכל "טומאת מת בציבור" רחמנא שריה٠
20nl 1ds 700gp 10sm	מנא אמנא לה٠
60nl 1ds 700gp 10sm	קתני מיחת
70nl 1ds 700gp 10sm	מודינא ה<י>כא דאיכא "^שירים^ לאכילה"٠
31nl 1ds 700gp 10sm	דאף על גב "דציבור הוא"٠ כיון
41nl 1ds 700gp 10sm	דלא קביע ליה "זמן" מהדרינן
51nl 1ds 700gp 10sm	דאף על גב דקביע ליה "זמן"٠ כיון "דיחיד"
61nl 1ds 700gp 10sm	הוא מהדרינן
22nl 1ds 700gp 10sm	ואי סלקא דעתא
52nl 1ds 700gp 10sm	בהנך דלא קביע
62nl 1ds 700gp 10sm	להו "זמן"٠ מותיבי٠
20nl 2ds 700gp 10sm	תנאי היא٠
01nl 2ds 700gp 10sm	מכלל דר׳ שמעון סבר ٠٠٠
11nl 2ds 700gp 10sm	דכלי עלמא
21nl 2ds 700gp 10sm	לא פליגי דלא מרצי٠ כי פליגי דתלי בסיכתא٠
41nl 2ds 700gp 10sm	מאי "תמיד"٠ אינימא "תמיד על מצחו٠" מי משכחת לה٠ הא בעי מיעל "לבית הכסא"
51nl 2ds 700gp 10sm	ובעי מינם٠
60nl 1ds 800gp 10sm	"לקבוע לו מקום" הוא דאתא٠
70nl 1ds 800gp 10sm	מנא ליה٠ ור׳ שמעון נמי
80nl 1ds 800gp 10sm	תיפוק לי "מעל מצחו"٠ הכי נמי٠ ואלא "על"
90nl 1ds 800gp 10sm	"מצח ונשא" מאי עביד ליה٠
21nl 1ds 800gp 10sm	"נשבר הציץ" מנא ליה٠ נפקא ליה
31nl 1ds 800gp 10sm	לא משמע ליה٠
41nl 1ds 800gp 10sm	נימא٠ הני תנאי כהני תנאי٠
12nl 1ds 800gp 10sm	מאי לאו בהא קא מיפלגי٠ דר׳ מאיר סבר
22nl 1ds 800gp 10sm	ור׳ יוסי סבר٠
32nl 1ds 800gp 10sm	ותסברה٠ אי קסבר
52nl 1ds 800gp 10sm	אלא דכולי עלמא להני תנאי והכא בהא
72nl 1ds 800gp 10sm	פליגי٠
33nl 1ds 800gp 10sm	פליגי٠ דמר סבר٠ אמרינן ٠٠٠
43nl 1ds 800gp 10sm	ומר סבר٠ לא אמרינן ٠٠٠ אלא דכולי עלמא להני תנאי אמרינן ٠٠٠
53nl 1ds 800gp 10sm	והכא בהא פליגי٠ מקשינן "טבילה להזאה"
63nl 1ds 800gp 10sm	ור׳ יוסי סבר٠ לא מקשינן٠ ור׳ חנניה סגן
73nl 1ds 800gp 10sm	הכהנים٠ אי מקיש ٠٠٠ אפלו נמי٠ ואי לא
83nl 1ds 800gp 10sm	מקיש ٠٠٠ לא
93nl 1ds 800gp 10sm	מקיש ٠٠٠ בעלמא٠ כמאן אזלא הא דתנו רבנן
40nl 2ds 800gp 10sm	הא איכא נמי הא٠ מתקיף
50nl 2ds 800gp 10sm	לה ר׳ יוסי בר׳ חנינא٠ בשלמא ٠٠٠
90nl 2ds 800gp 10sm	"לא בשלישי" איכא לספוקיה٠
01nl 2ds 800gp 10sm	"ולא בשביעי" איכא לספוקיה٠ ולטעמיך
11nl 2ds 800gp 10sm	מי איכא٠ הא קימא לן ٠٠٠
21nl 2ds 800gp 10sm	אלא מאי אית לך
31nl 2ds 800gp 10sm	למימר٠ לבר "משבת"٠ הכא נמי
41nl 2ds 800gp 10sm	לבר "מרביעי"٠ לאו בדידן תליא מילתא
61nl 2ds 800gp 10sm	אלא בקבעא דירחא תליא מילתא٠ בתלתא
71nl 2ds 800gp 10sm	בתשרי בעינן לאפרושיה٠ בכל אימת דמתרמי
81nl 2ds 800gp 10sm	תלתה בתשרי מפרשינן ליה٠ "כהן השורף את הפרה"
91nl 2ds 800gp 10sm	דבדידן תליא מילתא
02nl 2ds 800gp 10sm	מפרשינן ליה "ברביעי בשבת" כי היכי
12nl 2ds 800gp 10sm	דניתרמי "רביעי" דידיה "בשבת"٠
40nl 1ds 900gp 10sm	"מעשר שני" נפרשו וניסקו
50nl 1ds 900gp 10sm	וניכלו בירושלם٠
70nl 1ds 900gp 10sm	לא אטרחונהו רבנן٠
41nl 2ds 900gp 10sm	כי הוה מטי ר׳ יונתן האי קרא הוה בכי ואמ׳٠
91nl 2ds 900gp 10sm	דהוו מלין כוחלא סטיא٠
72nl 2ds 900gp 10sm	אתאן "למקדש ראשון"
23nl 2ds 900gp 10sm	לא הואי "שנאת חנם"٠
73nl 2ds 900gp 10sm	"אחרונים" עדיפי٠ דאף על גב
83nl 2ds 900gp 10sm	דאיכא "שעבוד מלכיות" עילויהו٠ קא מיעסקי באוריתא٠
04nl 2ds 900gp 10sm	ריש לקיש הוה קא סחי מיא בירדן٠ אזל רבה בר בר חנה יהב
14nl 2ds 900gp 10sm	ליה ידא٠ אמ׳ ליה٠ מאלהא٠ סנינא לכו٠
54nl 2ds 900gp 10sm	ומי מישתעי ריש לקיש בהדי רבה בר בר חנה٠ השתא בהדי ר׳
64nl 2ds 900gp 10sm	אלעזר מרה דארעא דישראל לא מישתעי٠ דמאן דמשתעי ריש לקיש בהדיה בשוקא
74nl 2ds 900gp 10sm	מוזפי ליה זוזי בלא סהדי٠ בהדי רבה בר בר חנה קא מישתעי٠ אמ׳ רב פפא٠ שדי גברא ביניהו٠ או ריש לקיש
84nl 2ds 900gp 10sm	וזעירי٠ או רבה בר בר חנה ור׳ אלעזר٠ כי אתא לקמיה דר׳ יוחנן אמ׳ ליה٠ ־<לאו היינו טעמא#80#>٠ אי סליקו
94nl 2ds 900gp 10sm	כולהו נמי לא הוה שריא "שכינה במקדש שני"٠
20nl 1ds 010gp 10sm	ופרסאי ממאי
30nl 1ds 010gp 10sm	דמיפת קא אתו٠
01nl 1ds 010gp 10sm	תני רב יוסף٠ סגיסתאן
11nl 1ds 010gp 10sm	גויתא וסגיסתאן בריתא٠ בין חדא לחדא מאה
21nl 1ds 010gp 10sm	פרסי٠ והקיפא אלפא פרסי٠
03nl 1ds 010gp 10sm	מתקיף לה
13nl 1ds 010gp 10sm	רבא בר עולא٠ מאי משמע דהאי "צעירי הצאן" פרס٠
23nl 1ds 010gp 10sm	כי סליק רב חביבא בר סורמיקי אמרה
33nl 1ds 010gp 10sm	קמיה דההוא מרבנן٠ אמ׳ ליה٠ ומאן דלא ידע לפרושי קראי מותיב תיובתא לרבי٠ מאי "צעירי"
43nl 1ds 010gp 10sm	זוטרא דאחיה٠
73nl 1ds 010gp 10sm	בנאי
83nl 1ds 010gp 10sm	ביד סתורי٠ איכא דאמרי٠ אמ׳ להו٠ אינהו נמי הא קא סתרי כנישאתא٠
54nl 1ds 010gp 10sm	אותיביה אביי ٠٠٠ "בית חורף ובית קיץ" איקרו٠ "בית" סתמא לא
64nl 1ds 010gp 10sm	איקרו٠ אותיביה ٠٠٠ ותני עלה
10nl 2ds 010gp 10sm	אתי לאיפרושי "מן הפטור על החיוב"٠
20nl 2ds 010gp 10sm	בשבעה
30nl 2ds 010gp 10sm	דכלי עלמא לא פליגי דמיחיבא٠ כי פליגי "בשאר ימות השנה"٠
40nl 2ds 010gp 10sm	רבנן סברי٠ גזרינן "שאר ימות השנה"
50nl 2ds 010gp 10sm	אטו שבעה٠
80nl 2ds 010gp 10sm	דכולי עלמא לא פליגי "דפטורה"٠ כי פליגי בשבעה٠ "וסוכה"
90nl 2ds 010gp 10sm	טעמה לחוד٠ "ולשכה" טעמה לחוד٠
01nl 2ds 010gp 10sm	ור׳ יהודה לטעמיה٠
21nl 2ds 010gp 10sm	ורבנן לטעמיהו٠
41nl 2ds 010gp 10sm	"לישכה" טעמה לחוד٠ רבנן סברי "דירה" על כרחה
51nl 2ds 010gp 10sm	שמה "דירה"٠
61nl 2ds 010gp 10sm	ומדרבנן הוא דתקינו ליה٠
81nl 2ds 010gp 10sm	מאן תנא להא דתנו רבנן
30nl 1ds 110gp 10sm	נימא רבנן היא ולא ר׳ יהודה٠
40nl 1ds 110gp 10sm	דאי ר׳ יהודה٠ היא גופה "גזירה"٠ ואנן ניקו
50nl 1ds 110gp 10sm	ונגזר "גזירה לגזירה"٠ אפלו תימא٠ ר׳ יהודה٠
60nl 1ds 110gp 10sm	כולה חדא גזירתא היא٠
11nl 1ds 110gp 10sm	הני אבולי דמחוזא מאי טעמא לא עבדי
21nl 1ds 110gp 10sm	להי "מזוזה"٠ אמ׳ ליה٠ הנך "חזוק" לאקרא
31nl 1ds 110gp 10sm	דכוכי הוא דעבידי٠ ואקרא דכוכי גופה
41nl 1ds 110gp 10sm	תיבעי "מזוזה"٠ דהא אית בה "דירה לשומר בית האיסורין"٠
32nl 1ds 110gp 10sm	"היזיק" דקביע שני٠
62nl 1ds 110gp 10sm	תני רב כהנא קמיה דרב
72nl 1ds 110gp 10sm	יהודה ומפרש٠
03nl 1ds 110gp 10sm	טעמא "דרוחצות"٠ הא סתמא "חיבין"٠
63nl 1ds 110gp 10sm	אלא מאי אית לך למימר "מתקשטות٠" תנאי היא٠ לדידי נמי סתמא תנאי
73nl 1ds 110gp 10sm	היא٠
04nl 1ds 110gp 10sm	רב כהנא מתריץ לטעמיה٠ ורב יהודה מתרץ לטע׳٠
44nl 1ds 110gp 10sm	אי הכי הינו "מרחץ"٠ אשמעינן "מרחץ דרבים" וקא משמע לן "מרחץ דיחיד"٠ דסלקא דעת׳ אמנא٠ "מרחץ דרבים" הוא דנפיש
54nl 1ds 110gp 10sm	זוהמיה٠ "אבל מרחץ דיחיד" דלא נפיש זוהמיה ניחייב٠ קא משמע לן٠ ורב יהודה מתרץ לטעמיה٠ והכי קתני
84nl 1ds 110gp 10sm	משום דנפיש זוהמיהו٠
01nl 2ds 110gp 10sm	תיובתא٠
41nl 2ds 110gp 10sm	פתחת "בששה"
51nl 2ds 110gp 10sm	וסלקת "בשבעה"٠ "שער המדי" תנאי היא٠
81nl 2ds 110gp 10sm	דכולי עלמ׳ היכא דגביהה עשרה
62nl 2ds 110gp 10sm	פשיטא٠ מהו דתימא ٠٠٠
72nl 2ds 110gp 10sm	קמשמע לן٠ ואימא
82nl 2ds 110gp 10sm	הכי נמי٠ אמ׳ קרא ٠٠٠
13nl 2ds 110gp 10sm	וכי עקר איניש כרעיה דימיניה עקר ברישא٠ תניא אידך
83nl 2ds 110gp 10sm	לא קשיא٠ הא ר׳ מאיר٠ הא רבנן٠
04nl 2ds 110gp 10sm	ואיבעית אימא٠ הא והא רבנן٠ הא דאית בה "דירה"٠
14nl 2ds 110gp 10sm	הא דלית בה "דירה" ואיבעית אימא٠ הא והא דאית בה "דירה"٠ ולא קשיא٠
10nl 1ds 210gp 10sm	לא מיטמו "בנגעים"
60nl 1ds 210gp 10sm	ואף על גב "דכרכין" נינהו٠
01nl 1ds 210gp 10sm	במאי פליגי٠ תנא קמא סבר ٠٠٠
80nl 1ds 210gp 10sm	ור׳ יהודה סבר٠ ובפלוגתא
11nl 1ds 210gp 10sm	דהני תנאי٠
91nl 1ds 210gp 10sm	והאי תנא סבר
