ROOT,RESERVE,PRIMARY 1,PRIMARY 2,PRIMARY 3,PRIMARY 4,RESERVE 1,RESERVE 2,RESERVE 3,RESERVE 4
אבד,1,אֲבַּד,,,,,,,
אבי,1,אָבֵי,,,,,,,
אבל,1,אֲבֵל,,,,,,,
אבע,1,נְבַע,,,,אַבֵּעַ,,,
אבק,1,אֲבַק,,,,,,,
אגד,1,אֲגַד I,אֲגַד II,,,,,,
אגר,1,אֲגַר I,אֲגַר II,,,,,,
אדי,1,אֲדִי,,,,,,,
אדם,1,הֲדַם,,,,אֲדַם,,,
אהל,0,אָהַל,,,,,,,
אוד,1,,,,,,,,
אוס,1,,,,,,,,
אושׁ,1,אֲוַשׁ,,,,,,,
אזל,1,אֲזַל I,אֲזַל II,,,,,,
אחד,1,אֲחַד,,,,,,,
אחי,1,אחי ²,,,,,,,
אחר,1,אֲחַר,,,,,,,
אכל,1,אֲכַל,אֲכַל II,,,,,,
אכף,0,אָכַף,,,,,,,
אכר,1,,,,,,,,
אלל,1,אֲלַל,,,,,,,
אלם,1,אֲלַם,,,,,,,
אלס,1,אֲלַס,,,,,,,
אלף,1,אֲלַף II,,,,,,,
אמד,1,אֲמַד,,,,,,,
אמץ,0,אָמַץ,,,,,,,
אמר,1,אֲמַר,,,,,,,
אנח,1,אֲנַח,,,,,,,
אנס,1,אֲנַס,,,,,,,
אסי,1,אֲסִי,,,,,,,
אסף,1,אֲסַף,,,,,,,
אסר,1,אֲסַר,,,,,,,
אפי,1,אָפֵי,,,,,,,
אפך,1,אֲפַךְ,,,,,,,
אפל,1,אֲפַל,,,,,,,
אפף,0,אָפַף,,,,,,,
אפץ,1,אֲפַץ,,,,,,,
אצר,1,אֲצַר I,,,,,,,
אקן,1,אֲקַן,,,,,,,
ארב,1,*אֲרַב,,,,,,,
ארג,1,אֲרַג,,,,,,,
ארי,1,אֲרִי I,,,,,,,
ארך,1,אֲרִיךְ I,ארך,,,אֲרַךְ,,,
ארס,1,אֲרַס,,,,,,,
ארע,1,אֲרַע I,אֲרַע II,,,,,,
ארק,1,חֲרַק,,,,,,,
אשׁד,1,אֲשַׁד,,,,,,,
אשׁף,1,,,,,,,,
אשׁר,1,אֲשַׁר,,,,,,,
באשׁ,0,בָּאַשׁ,,,,,,,
בגר,1,בְּגַר,,,,,,,
בדח,1,בְּדַח,,,,,,,
בדל,1,בְּדַל,,,,,,,
בדק,1,בְּדַק,,,,,,,
בדר,1,בְּדַר,,,,,,,
בהל,1,בְּהַל,,,,,,,
בהת,1,בְּהַת,,,,,,,
בור,1,בּוּר,,,,,,,
בות,1,בִּית,,,,בּוּת,,,
בזי,1,בְּזֵי,בְּזֵי ²,,,,,,
בזע,1,בְּזַע,,,,,,,
בזק,1,בְּזַק,,,,,,,
בחר,1,בְּחַר,,,,,,,
בחש,1,בְּחַשׁ,,,,,,,
בטח,1,בְּטַח I,,,,,,,
בטל,1,בְּטֵל,,,,,,,
בטן,1,בְּטַן,,,,,,,
בטשׁ,1,בְּטַשׁ,,,,,,,
בישׁ,1,בְּאֵישׁ,,,,,,,
בכי,1,בכי ²,,,,,,,
בכר,1,בְּכַר,,,,,,,
בלא,1,בְּלָא,,,,,,,
בלי,1,בְּלֵי I,,,,,,,
בלם,1,בְּלַם,,,,,,,
בלס,1,,,,,,,,
בלע,1,בְּלַע,,,,,,,
בני,1,בְּנֵי,,,,,,,
בסי,1,בסי,,,,,,,
בסם,1,בְּסַם,,,,,,,
בעט,1,בְּעַט,,,,,,,
בעי,1,בְּעֵי I,בְּעֵי II,,,,,,
בעל,1,בְּעַל,,,,,,,
בער,1,בְּעַר I,*בְּעַר II,,,,,,
בעת,1,בְּעֵת,,,,,,,
בצל,1,בְּצַל,,,,,,,
בצע,1,בְּצַע,,,,,,,
בצר,1,בְּצַר,בָּצֵר,,,,,,
בקי,1,בְּקָא,,,,בְּקִי,,,
בקע,0,בָּקַע,,,,,,,
בקר,1,בְּקַר,,,,,,,
ברז,1,בְּרַז,,,,,,,
ברח,1,בְּרַח,,,,,,,
ברי,1,ברי,,,,,,,
ברך,1,בְּרַךְ,,,,,,,
ברם,1,,,,,,,,
ברץ,1,בְּרַץ,,,,,,,
ברר,1,בְּרַר,,,,,,,
בשׁל,1,בְּשַׁל,,,,,,,
בשׁר,1,בְּשַׂר,,,,,,,
בתשׁ,1,*בְּתַשׁ,,,,,,,
גבב,1,גְּבַב,,,,,,,
גבי,1,גְּבִי,,,,,,,
גבל,1,גְּבַל,,,,,,,
גבר,1,גְּבַר I,,,,,,,
גדד,1,גְּדַד,,,,,,,
גדל,1,גְּדַל II,גְּדַל I,,,,,,
גדף,1,גְּדַף,,,,,,,
גדר,1,גְּדַר,גַּדַּר,,,,,,
גדשׁ,1,גְּדַשׁ I,גְּדַשׁ II,,,,,,
גהט,1,גְּהַט,,,,,,,
גהר,1,,,,,,,,
גוז,1,גּוּז ²,,,,,,,
גוי,1,,,,,,,,
גוס,1,גּוּס,גּוּס ²,,,,,,
גוף,1,גּוּף,,,,,,,
גור,1,גּוּר II,גּוּר,,,,,,
גזז,1,גְּזַז,,,,,,,
גזי,1,גְּזֵי,,,,,,,
גזל,1,גְּזַל I,,,,,,,
גזם,1,גְּזַם,,,,,,,
גזף,1,*גזף,,,,,,,
גזר,1,גְּזַר,,,,,,,
גחן,1,גְּחַן,,,,,,,
