WORD    HEBREW     ARAMAIC
רַבִּי
אֶלָּא
הוּא
לֹא
אוֹ
כִּי
עַד
וְלֹא
מִן
אֵין
לִי
מִשּׁוּם
זֶה	[0.04980676 0.95019324]
הִיא	[0.9608073 0.0391927]
אָמַר	[0.0498553 0.9501447]
לָאו	[0.96084639 0.03915361]
אֶחָד	[0.04980612 0.95019388]
אוֹמְרִים	[0.04978763 0.95021237]
כָּל	[0.04986625 0.95013375]
בֵּין	[0.04982095 0.95017905]
מִי	[0.96082272 0.03917728]
אַף	[0.04977827 0.95022173]
וְאִם	[0.04986032 0.95013968]
יְהוּדָה	[0.04740011 0.95259989]
טָמֵא	[0.04982034 0.95017966]
אֵינוֹ	[0.04983442 0.95016558]
שֶׁהוּא	[0.04977954 0.95022046]
הָיָה	[0.04977401 0.95022599]
כֵּיוָן	[0.96084584 0.03915416]
לָךְ	[0.96081699 0.03918301]
מִפְּנֵי	[0.04981179 0.95018821]
אֲבָל	[0.0498631 0.9501369]
בֶּן	[0.04980085 0.95019915]
שִׁמְעוֹן	[0.04979981 0.95020019]
בֵּית	[0.04981857 0.95018143]
טָהוֹר	[0.04980966 0.95019034]
אַחַת	[0.04975507 0.95024493]
וְאִי	[0.96081003 0.03918997]
בּוֹ	[0.04976783 0.95023217]
בָּהּ	[0.04985421 0.95014579]
לָהּ	[0.04982364 0.95017636]
הָיוּ	[0.049861 0.950139]
עָלָיו	[0.04977977 0.95022023]
שֶׁאֵין	[0.04982252 0.95017748]
שְׁמַע	[0.96086188 0.03913812]
אָמְרוּ	[0.04986234 0.95013766]
יוֹם	[0.00354126 0.99645874]
וְעַל	[0.0498674 0.9501326]
כֹּל	[0.6378785 0.3621215]
שַׁמַּאי	[0.04988649 0.95011351]
הִלֵּל	[0.04979784 0.95020216]
וְכִי	[0.9608829 0.0391171]
וְכֵן	[0.04979822 0.95020178]
אָסוּר	[0.0498643 0.9501357]
לָהֶם	[0.04978121 0.95021879]
עֲקִיבָא	[0.04987255 0.95012745]
וּבֵית	[0.04988376 0.95011624]
יִשְׂרָאֵל	[0.04986317 0.95013683]
שֶׁנֶּאֱמַר	[0.01761349 0.98238651]
שְׁנֵי	[0.04986195 0.95013805]
שְׁתֵּי	[0.04984937 0.95015063]
מְטַמֵּא	[0.0498487 0.9501513]
גַּמְלִיאֵל	[0.04981378 0.95018622]
גַּבֵּי	[0.1911583 0.8088417]
מַהוּ	[0.96083997 0.03916003]
מַה	[0.049878 0.950122]
גַּב	[0.9608001 0.0391999]
כַּמָּה	[0.0515048 0.9484952]
וְרַב	[0.96085911 0.03914089]
וְהוּא	[0.47434308 0.52565692]
הֵן	[0.04979394 0.95020606]
אַרְבַּע	[0.04984808 0.95015192]
רַבָּן	[0.04981175 0.95018825]
לְמָה	[0.96082035 0.03917965]
שֶׁהִיא	[0.04983775 0.95016225]
עָלֶיהָ	[0.0497725 0.9502275]
עִם	[0.01626882 0.98373118]
נוֹתֵן	[0.00614886 0.99385114]
בְּנֵי	[0.05988977 0.94011023]
מְשַׁלֵּם	[0.04980495 0.95019505]
וְרַבִּי	[0.04985579 0.95014421]
אֵינָהּ	[0.04977914 0.95022086]
יֵשׁ	[0.01102505 0.98897495]
וַהֲדַר	[0.96082811 0.03917189]
מִמֶּנּוּ	[0.01469392 0.98530608]
אַרְבָּעָה	[0.04979043 0.95020957]
שֵׁנִי	[0.0497827 0.9502173]
דָּבָר	[0.04979543 0.95020457]
וְאָמַר	[0.04985583 0.95014417]
כְּגוֹן	[0.96082274 0.03917726]
דִּכְתִיב	[0.96088378 0.03911622]
אֲנִי	[0.04987281 0.95012719]
סָפֵק	[0.04985209 0.95014791]
אַחֵר	[0.04978061 0.95021939]
טוֹב	[0.04986418 0.95013582]
בַּת	[0.89578602 0.10421398]
בִּזְמַן	[0.04983246 0.95016754]
מִכָּאן	[0.04981848 0.95018152]
הֲדַר	[0.98798172 0.01201828]
מְאָה	[0.96079916 0.03920084]
עֲשָׂרָה	[0.04987021 0.95012979]
לְךָ	[0.0498533 0.9501467]
כָּאן	[0.1531815 0.8468185]
בַּעַל	[0.03521856 0.96478144]
לָהֶן	[0.01272214 0.98727786]
אֶפְשָׁר	[0.12238443 0.87761557]
צָרִיךְ	[0.0498363 0.9501637]
לְבֵית	[0.17716892 0.82283108]
כֵּן	[0.04985549 0.95014451]
הָרִאשׁוֹן	[0.01401468 0.98598532]
יָכוֹל	[0.04983812 0.95016188]
עֲלֵיהֶן	[0.04986576 0.95013424]
סוֹף	[0.17321767 0.82678233]
וְזֶה	[0.0498292 0.9501708]
אוֹתָהּ	[0.03439339 0.96560661]
בִּרְשׁוּת	[0.0498328 0.9501672]
וַדַּאי	[0.96080631 0.03919369]
וְעַד	[0.05098209 0.94901791]
מָה	[0.06030613 0.93969387]
קָדָשִׁים	[0.00620918 0.99379082]
שִׁבְעָה	[0.04980344 0.95019656]
רַבָּה	[0.9608358 0.0391642]
עֶשְׂרִים	[0.04984466 0.95015534]
שַׁבָּת	[0.04982573 0.95017427]
וּבֵין	[0.04987768 0.95012232]
מִמֶּנָּה	[0.01146416 0.98853584]
מְטַמְּאִין	[0.0423898 0.9576102]
בְּשַׁבָּת	[0.04982193 0.95017807]
יָדַע	[0.96083109 0.03916891]
מִדְרָס	[0.04986301 0.95013699]
יוֹחָנָן	[0.04977149 0.95022851]
אָכַל	[0.0497516 0.9502484]
יְדֵי	[0.3068214 0.6931786]
אַחַד	[0.04984229 0.95015771]
מְנָת	[0.04985468 0.95014532]
מוֹדֶה	[0.28887472 0.71112528]
