,R,,,
קׇדְשֵׁי,R,,,
קָדָשִׁים,"('R', 'NN')","('קָדֵשׁ', 'NN')","('קֹדֶשׁ', 'NN')",
שֶׁשְּׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּדָּרוֹם,"('R', 'NN')","('דָּרוֹם', 'NN')",,
מוֹעֲלִין,"('R', 'BN')","('מָעַל', 'VB')",,
בָּהֶן,"('R', 'PRP')","('הֵן', 'RB')",,
שְׁחָטָן,"('R', 'NN')","('שָׁחַט', 'VB')",,
בַּדָּרוֹם,"('R', 'NN')","('דָּרוֹם', 'NN')",,
וְקִיבֵּל,"('R', 'VB')","('קִבֵּל', 'VB')",,
דָּמָן,"('R', 'NN')","('דָּם', 'NN')",,
בַּצָּפוֹן,"('R', 'NN')","('צָפוֹן', 'NN')",,
בַּצָּפוֹן,"('R', 'NN')","('צָפוֹן', 'NN')",,
וְקִיבֵּל,"('R', 'VB')","('קִבֵּל', 'VB')",,
דָּמָן,"('R', 'NN')","('דָּם', 'NN')",,
בַּדָּרוֹם,"('R', 'NN')","('דָּרוֹם', 'NN')",,
,,,,
שָׁחַט,"('R', 'VB')","('שָׁחַט', 'VB')",,
בַּיּוֹם,"('R', 'NN')","('יוֹם', 'NN')",,
וְזָרַק,"('R', 'VB')","('זָרַק', 'VB')",,
בַּלַּיְלָה,"('R', 'NN')","('בְּלִילָה', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')"
בַּלַּיְלָה,"('R', 'NN')","('בְּלִילָה', 'NN')","('לַיְלָה', 'NN')","('לַיִל', 'NN')"
וְזָרַק,"('R', 'VB')","('זָרַק', 'VB')",,
בַּיּוֹם,"('R', 'NN')","('יוֹם', 'NN')",,
אוֹ,"('R', 'CC')","('אוֹ', 'CC')",,
שֶׁשְּׁחָטָן,"('R', 'NNP')","('שָׁחַט', 'VB')",,
חוּץ,"('R', 'RB')","('חוּץ', 'NN')","('חוּץ', 'RB')","('חוּץ', 'Prefix')"
לִזְמַנּוֹ,"('R', 'VB')","('זְמַן', 'NN')",,
וְחוּץ,"('R', 'NN')","('חוּץ', 'NN')","('חוּץ', 'RB')","('חוּץ', 'Prefix')"
לִמְקוֹמוֹ,"('R', 'NN')","('מָקוֹם', 'NN')",,
מוֹעֲלִין,"('R', 'BN')","('מָעַל', 'VB')",,
בָּהֶן,"('R', 'PRP')","('הֵן', 'RB')",,
,,,,
כְּלָל,"('R', 'RB')","('כְּלָל', 'RB')","('כְּלָל', 'NN')","('כָּלַל', 'VB')"
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
רַבִּי,"('R', 'NN')","('רַבִּי', 'NN')","('רַב', 'JJ')","('רַבִּים', 'שֵם ז""ר')"
יְהוֹשֻׁעַ,R,,,
כׇּל,"('R', 'DTT')","('כ', 'A')",,
שֶׁהָיָה,"('R', 'COP')","('הָיָה', 'VB')","('הָיָה', 'VB')","('שְׁהִיָּה', 'NN')"
לָהּ,R,,,
שְׁעַת,"('R', 'NNT')","('שָׁעָה', 'NN')","('עֵת', 'NN')",
הֶיתֵּר,"('R', 'NN')","('הֶתֵּר', 'NN')","('יֶתֶר', 'NN')","('יָתֵר', 'JJ')"
לַכֹּהֲנִים,"('R', 'NN')","('כֹּהֵן', 'NN')",,
אֵין,"('R', 'VB')","('אֵין', 'RB')","('אַיִן', 'RB')","('אֵין', 'Prefix')"
מוֹעֲלִין,"('R', 'VB')","('מָעַל', 'VB')",,
בָּהּ,R,,,
וְכׇל,R,,,
שֶׁלֹּא,"('R', 'RB')","('לֹא', 'RB')","('לֹא', 'Prefix')",
הָיָה,"('R', 'COP')","('הָיָה', 'VB')","('הָיָה', 'VB')",
לָהּ,R,,,
שְׁעַת,"('R', 'NNT')","('שָׁעָה', 'NN')","('עֵת', 'NN')",
הֶיתֵּר,"('R', 'NN')","('הֶתֵּר', 'NN')","('יֶתֶר', 'NN')","('יָתֵר', 'JJ')"
לַכֹּהֲנִים,"('R', 'NN')","('כֹּהֵן', 'NN')",,
מוֹעֲלִין,"('R', 'BN')","('מָעַל', 'VB')",,
בָּהּ,R,,,
,,,,
אֵיזוֹ,R,,,
הִיא,"('R', 'COP')","('הִיא', 'PRP')",,
